日期,3100脚本测试地址,脚本日消耗,链治理(gasoracle),链治理日消耗,sequencers(8),sequencers 日消耗,l2txfeevalut,l2txfeevalut(流水),l2txfeevalut每日利润
2024/11/30,0.0209,0,4.1771,0.086,26.9882,-0.432,9.9911,0.8146,
2024/12/1,0.0209,0,4.0647,0.1124,26.5562,0.432,10.9146,0.9235,
2024/12/2,0.0209,0,3.8527,0.212,26.9882,-0.432,12.319,1.4044,
2024/12/3,0.0209,0,3.6379,0.2148,26.235,0.7532,13.6981,1.3791,
2024/12/4,0.0209,0,3.4274,0.2105,44.8182,1.4169,14.9252,1.2271,
2024/12/5,0.0209,0,3.2299,0.1975,43.4413,1.3769,16.0413,1.1161,-0.4583
2024/12/6,0.0209,0,3.0462,0.1837,42.023,1.4183,17.0675,1.0262,-0.5758
2024/12/7,0.0209,0,2.9321,0.114,40.7299,1.2931,17.7435,0.676,-0.7312
2024/12/8,0.0209,0,2.8632,0.0689,39.549,1.1809,18.3044,0.5609,-0.6889
2024/12/9,0.0209,0,2.6309,0.2323,38.7864,0.7626,19.6516,1.3472,0.3523
2024/12/10,0.0209,0,2.5139,0.117,38.2444,0.542,21.7783,2.1268,1.4677
2024/12/11,0.0209,0,2.4769,0.037,36.8955,1.3489,18.1217,1.3433,-0.0426
2024/12/12,0.0209,0,2.3555,0.1213,34.8973,1.9982,19.3292,1.2075,-0.912
2024/12/13,0.0316,-0.0107,2.2566,0.0989,33.5697,1.3276,20.6056,1.2764,-0.1394
2024/12/14,0.0316,0,2.2061,0.0505,32.3913,1.1784,21.4235,0.8178,-0.4111
2024/12/15,0.0316,0,2.1453,0.0608,31.3829,1.0084,22.2702,0.8468,-0.2224
2024/12/16,1.7614,0.0002,2.0768,0.0685,30.7669,0.616,3.9197,1.6495,0.9648
2024/12/17,1.4505,0.3109,2.048,0.0288,30.2371,0.5298,5.4034,1.4837,0.6142
2024/12/18,1.2423,0.2082,2.0208,0.0272,29.1502,1.0869,7.3321,1.9287,0.6064
2024/12/19,1.0239,0.2184,1.9973,0.0235,28.0174,1.1327,10.7591,3.427,2.0524
2024/12/20,0.8132,0.2107,1.9738,0.0235,26.8427,1.1748,14.6461,3.887,2.4781
2024/12/21,0.7874,0.0258,1.9602,0.0136,24.2892,2.5534,18.2661,3.6199,1.0271
2024/12/22,0.7482,0.0392,1.9535,0.0068,42.1932,2.096,20.7472,2.4811,0.3392
2024/12/23,0.652,0.0962,1.9442,0.0092,41.4433,0.75,23.6002,2.853,1.9975
2024/12/24,20.4543,0.1977,1.9396,0.0046,40.7853,0.658,6.1491,2.549,1.6887
2024/12/25,20.3335,0.1207,1.9359,0.0037,39.6131,1.1722,8.2849,2.1358,0.8391
2024/12/26,18.7332,1.6003,1.9292,0.0067,38.3822,1.2309,12.7536,4.4687,1.6308
2024/12/27,17.6888,1.0445,1.9226,0.0066,37.534,0.8483,16.8969,4.1433,2.2439
2024/12/28,15.974,1.7148,1.917,0.0056,36.4354,1.0986,21.7164,4.8195,2.0006
2024/12/29,14.6654,1.3085,1.9112,0.0058,35.3117,1.1237,26.3002,4.5838,2.1457
2024/12/30,13.0856,1.5798,1.9052,0.006,34.3122,0.9995,32.3707,6.0705,3.4852
2024/12/31,7.2312,5.8544,1.8971,0.0081,33.4854,0.8268,22.111,9.7403,3.051
2025/1/1,2.6097,4.6215,1.849,0.0481,31.9237,1.5617,29.8473,7.7363,1.5049
2025/1/2,16.4674,6.1422,1.8337,0.0153,29.7527,2.1711,21.2534,11.4062,3.0776
2025/1/3,8.9476,7.5199,1.8241,0.0095,27.9838,1.7689,34.0114,12.7579,3.4597
2025/1/4,1.5006,7.4469,1.8122,0.012,24.8011,3.1827,46.8012,12.7899,2.1483
2025/1/5,34.407,7.0936,1.8074,0.0048,42.8699,1.9312,16.6566,9.8554,0.8258
2025/1/6,27.1067,7.3003,1.7981,0.0093,41.6486,1.2213,28.8191,12.1625,3.6315
2025/1/7,20.0207,7.086,1.734,0.0641,40.5023,1.1463,65.8172,36.9981,28.7018
2025/1/8,12.6003,7.4204,1.7262,0.0078,37.543,2.9593,82.3139,16.4966,6.1091
2025/1/9,5.1919,7.4084,1.7193,0.0069,35.6241,1.9189,33.7308,11.417,2.0827
2025/1/10,57.5601,7.6317,1.6934,0.0259,33.8684,1.7557,43.6744,9.9436,0.5303
2025/1/11,49.3039,8.2562,1.657,0.0364,32.3984,1.47,54.5013,10.8269,1.0642
2025/1/12,41.0094,8.2946,1.6087,0.0483,31.3509,1.0475,66.372,11.8707,2.4804
2025/1/13,32.0827,8.9267,1.4912,0.1175,30.844,0.5069,78.3609,11.9889,2.4378
2025/1/14,21.1692,10.9135,1.3236,0.1676,30.4422,0.4018,26.7857,13.4248,1.942
2025/1/15,69.4021,11.7671,1.1762,0.1474,29.2158,1.2264,41.197,14.4113,1.2703
2025/1/16,46.4177,22.9844,1.4612,0.215,28.167,1.0488,67.529,26.332,2.0837
2025/1/17,29.2448,17.1729,1.3408,0.1204,26.6301,1.5369,86.8393,19.3104,0.4802
2025/1/18,49.7729,19.4719,1.1238,0.217,25.0018,1.6283,47.3625,20.5232,-0.794
2025/1/19,36.3197,13.4531,1.5861,0.2377,23.5556,1.4462,63.5906,16.2281,1.091
2025/1/20,20.763,15.5567,1.3737,0.2124,41.1606,2.395,82.2561,18.6654,0.5014
2025/1/21,8.8437,11.9194,1.1225,0.2512,38.0446,3.116,96.5215,14.2654,-1.0211
2025/1/22,2.7028,6.1409,5.9001,0.2224,32.8023,5.2423,19.82,8.2985,-3.3071
2025/1/23,53.6275,9.0753,5.6623,0.2378,28.8376,3.9647,29.38,9.56,-3.7177
2025/1/24,44.6623,8.9653,5.4491,0.2132,27.7461,1.0915,40.064,10.684,0.4141
2025/1/25,34.1468,10.5154,5.2113,0.2379,27.1245,0.6216,51.8096,11.7456,0.3707
2025/1/26,23.0962,11.0507,4.9753,0.236,26.5644,0.5601,64.2394,12.4298,0.5831
2025/1/27,13.5798,9.5163,4.7668,0.2085,25.2215,1.3429,75.5067,11.2673,0.1996
2025/1/28,21.5704,12.0094,4.5286,0.2382,44.3364,0.8851,28.9846,13.4779,0.3451
2025/1/29,10.5549,11.0155,4.2988,0.2298,43.8089,0.5275,41.5062,12.5216,0.7488
2025/1/30,21.9531,8.6018,4.1064,0.1924,43.4821,0.3269,51.1531,9.6468,0.5258
2025/1/31,31.9664,7.9868,3.914,0.1923,42.9455,0.5366,60.4005,9.2475,0.5318
2025/2/1,23.2581,8.7083,3.7288,0.1852,42.638,0.3075,69.9782,9.5777,0.3767
2025/2/2,13.9756,9.2825,3.4783,0.2506,41.923,0.7151,80.5145,10.5363,0.2882
仅 2024/12 数据汇总,,14.5197,,2.28,,33.5028,,77.1199,24.8031
仅 2025/01 数据汇总,,313.2648,,4.183,,50.5399,,428.2895,55.3018
截止当前数据汇总,,345.7753,,6.9848,,84.6333,,526.338,80.7697